event_id,year,true_label,lightgbm_prediction,rf_prediction,rf_correct,lightgbm_correct,outcome
2022-0643-HTI,2022,High,Extreme,High,True,False,rf_only_correct
2022-0647-HND,2022,Low,Low,Low,True,True,both_correct
2022-0652-UGA,2022,Moderate,Low,High,False,False,both_wrong
2022-0003-IND,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0062-IDN,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0009-ZAF,2022,Moderate,Low,Low,False,False,both_wrong
2022-0013-FJI,2022,Low,Low,Low,True,True,both_correct
2022-0017-ZAF,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0018-TZA,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0019-EGY,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0024-USA,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0030-PHL,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0032-MDG,2022,Moderate,Low,Low,False,False,both_wrong
2022-0043-ZMB,2022,Low,Low,Low,True,True,both_correct
2022-0061-MUS,2022,Low,Low,Low,True,True,both_correct
2022-0046-AUS,2022,Low,Low,Low,True,True,both_correct
2022-0049-CMR,2022,Moderate,Moderate,High,False,True,lightgbm_only_correct
2022-0059-USA,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0073-COL,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0081-DNK,2022,Low,Low,Low,True,True,both_correct
2022-0081-POL,2022,Low,Low,Low,True,True,both_correct
2022-0087-IDN,2022,Low,Low,Low,True,True,both_correct
2022-0111-GRC,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0092-GTM,2022,Low,Low,Low,True,True,both_correct
2022-0097-POL,2022,Low,Low,Low,True,True,both_correct
2022-0112-BEL,2022,Low,Low,Low,True,True,both_correct
2022-0112-GBR,2022,Low,Low,Low,True,True,both_correct
2022-0112-IRL,2022,Low,Low,Low,True,True,both_correct
2022-0119-THA,2022,Low,Low,Low,True,True,both_correct
2022-0136-IDN,2022,Low,Low,Low,True,True,both_correct
2022-0137-MDG,2022,Low,Low,Low,True,True,both_correct
2022-0149-BRA,2022,Low,Low,Low,True,True,both_correct
2022-0153-JPN,2022,Low,Low,Low,True,True,both_correct
2022-0162-BGD,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0165-MMR,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0177-ECU,2022,Low,Low,Low,True,True,both_correct
2022-0231-BIH,2022,Low,Low,Low,True,True,both_correct
2022-0237-NGA,2022,High,Moderate,High,True,False,rf_only_correct
2022-0238-JPN,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0239-MDG,2022,Moderate,Low,Low,False,False,both_wrong
2022-0255-COD,2022,Low,High,Extreme,False,False,both_wrong
2022-0257-NGA,2022,Low,Low,Moderate,False,True,lightgbm_only_correct
2022-0269-CHN,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0282-LBR,2022,Moderate,Extreme,Extreme,False,False,both_wrong
2022-0311-MMR,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0319-TZA,2022,Low,Low,High,False,True,lightgbm_only_correct
2022-0325-USA,2022,Low,Low,Low,True,True,both_correct
2022-0330-NPL,2022,Moderate,Moderate,High,False,True,lightgbm_only_correct
2022-0343-RUS,2022,Low,Low,Low,True,True,both_correct
2022-0358-TUR,2022,Low,Low,Low,True,True,both_correct
2022-0373-FRA,2022,Low,Low,Low,True,True,both_correct
2022-0381-USA,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0388-COL,2022,Low,Moderate,Moderate,False,False,both_wrong
2022-0391-IND,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0423-JPN,2022,Moderate,High,High,False,False,both_wrong
2022-0428-CHN,2022,Moderate,High,High,False,False,both_wrong
2022-0434-MEX,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0435-PAK,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0465-CYP,2022,High,Low,Extreme,False,False,both_wrong
2022-0449-CAF,2022,Moderate,Low,Low,False,False,both_wrong
2022-0463-CHN,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0465-BGR,2022,Extreme,Low,Extreme,True,False,rf_only_correct
2022-0465-DEU,2022,Extreme,High,High,False,False,both_wrong
2022-0465-ESP,2022,Extreme,Low,Extreme,True,False,rf_only_correct
2022-0465-EST,2022,High,Low,Extreme,False,False,both_wrong
2022-0465-FIN,2022,High,Low,High,True,False,rf_only_correct
2022-0465-GBR,2022,Extreme,Extreme,High,False,True,lightgbm_only_correct
2022-0465-HRV,2022,High,Low,Extreme,False,False,both_wrong
2022-0465-MLT,2022,Moderate,Low,Extreme,False,False,both_wrong
2022-0465-MNE,2022,Moderate,Low,Extreme,False,False,both_wrong
2022-0465-NLD,2022,High,High,High,True,True,both_correct
2022-0465-POL,2022,High,High,Extreme,False,True,lightgbm_only_correct
2022-0465-PRT,2022,Extreme,Extreme,Extreme,True,True,both_correct
2022-0465-SVK,2022,High,High,Extreme,False,True,lightgbm_only_correct
2022-0465-SWE,2022,Moderate,High,High,False,False,both_wrong
2022-0473-RUS,2022,Low,Low,Low,True,True,both_correct
2022-0474-THA,2022,Low,Low,Low,True,True,both_correct
2022-0505-CUB,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0476-IRN,2022,Moderate,Low,Low,False,False,both_wrong
2022-0483-CIV,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0490-LKA,2022,Low,Low,Low,True,True,both_correct
2022-0496-JPN,2022,Low,Low,Low,True,True,both_correct
2022-0515-LAO,2022,Low,Low,Low,True,True,both_correct
2022-0520-DZA,2022,Moderate,Low,Low,False,False,both_wrong
2022-0567-CHN,2022,High,Low,Low,False,False,both_wrong
2022-0569-ZWE,2022,High,Low,Extreme,False,False,both_wrong
2022-0590-NPL,2022,Moderate,High,High,False,False,both_wrong
2022-0602-IRQ,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0603-PRI,2022,Moderate,Low,Low,False,False,both_wrong
2022-0604-JPN,2022,Low,Low,Low,True,True,both_correct
2022-0611-TWN,2022,Low,Low,Low,True,True,both_correct
2022-0613-PHL,2022,Moderate,Low,Low,False,False,both_wrong
2022-0614-CUB,2022,Low,Low,Low,True,True,both_correct
2022-0619-IDN,2022,High,Moderate,Moderate,False,False,both_wrong
2022-0622-MEX,2022,Low,Low,Low,True,True,both_correct
2022-0835-KHM,2022,Moderate,Moderate,High,False,True,lightgbm_only_correct
2022-0623-MEX,2022,Low,Low,Low,True,True,both_correct
2022-0627-JPN,2022,Low,Low,Low,True,True,both_correct
2022-0838-MEX,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0629-GTM,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0642-IDN,2022,Moderate,Low,Low,False,False,both_wrong
2022-0647-NIC,2022,Low,Low,Low,True,True,both_correct
2022-0648-VEN,2022,High,Moderate,Moderate,False,False,both_wrong
2022-0669-ETH,2022,High,High,High,True,True,both_correct
2022-0670-KHM,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0672-COL,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0674-NGA,2022,High,High,High,True,True,both_correct
2022-0677-LKA,2022,Low,Low,Low,True,True,both_correct
2022-0679-AUS,2022,Low,Low,Low,True,True,both_correct
2022-0782-IDN,2022,Low,Low,Low,True,True,both_correct
2022-0694-IDN,2022,Low,Low,Low,True,True,both_correct
2022-0783-BRA,2022,Moderate,Low,Low,False,False,both_wrong
2023-0021-CHN,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0034-SYR,2023,Moderate,Moderate,Moderate,True,True,both_correct
2022-0696-BEN,2022,Moderate,Low,Low,False,False,both_wrong
2022-0701-UGA,2022,Moderate,Moderate,High,False,True,lightgbm_only_correct
2022-0711-COD,2022,Moderate,Moderate,High,False,True,lightgbm_only_correct
2022-0725-TZA,2022,Moderate,Moderate,High,False,True,lightgbm_only_correct
2022-0734-USA,2022,Low,Low,Low,True,True,both_correct
2022-0735-USA,2022,Low,Low,Low,True,True,both_correct
2022-0740-EGY,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0770-COD,2022,Moderate,High,High,False,False,both_wrong
2022-0770-RWA,2022,Low,Low,Low,True,True,both_correct
2022-0774-CMR,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0776-CHN,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0779-NGA,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0823-CHL,2022,Low,Low,Low,True,True,both_correct
2022-0785-LKA,2022,Low,Low,Low,True,True,both_correct
2022-0807-THA,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0808-USA,2022,Low,Low,Low,True,True,both_correct
2022-0810-THA,2022,Low,Low,Low,True,True,both_correct
2022-0811-USA,2022,Low,Low,Low,True,True,both_correct
2022-0818-USA,2022,Moderate,Low,Low,False,False,both_wrong
2022-0828-CHL,2022,Low,Low,Low,True,True,both_correct
2022-0829-IND,2022,Moderate,Moderate,Moderate,True,True,both_correct
2022-0847-IDN,2022,Low,Low,Low,True,True,both_correct
2022-0858-KEN,2022,High,Moderate,High,True,False,rf_only_correct
2022-9209-USA,2022,High,Low,Low,False,False,both_wrong
2023-0032-USA,2023,Moderate,Low,Low,False,False,both_wrong
2023-0156-PAK,2023,Moderate,Low,Low,False,False,both_wrong
2023-0013-UKR,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0017-UGA,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0043-MOZ,2023,High,High,High,True,True,both_correct
2023-0052-USA,2023,Moderate,Low,Low,False,False,both_wrong
2023-0055-BOL,2023,Low,Low,Low,True,True,both_correct
2023-0060-PER,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0078-MOZ,2023,Moderate,Low,Low,False,False,both_wrong
2023-0065-CHN,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0075-ITA,2023,Low,Low,Low,True,True,both_correct
2023-0107-TUR,2023,Low,Low,Low,True,True,both_correct
2023-0113-GRC,2023,Moderate,Low,Low,False,False,both_wrong
2023-0091-TUR,2023,Low,Low,Low,True,True,both_correct
2023-0094-PHL,2023,Moderate,Low,Low,False,False,both_wrong
2023-0105-ITA,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0122-USA,2023,Moderate,Low,Low,False,False,both_wrong
2023-0127-IDN,2023,Low,Low,Low,True,True,both_correct
2023-0135-USA,2023,Low,Low,Low,True,True,both_correct
2023-0140-SSD,2023,Low,High,High,False,False,both_wrong
2023-0150-TUN,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0166-NGA,2023,Extreme,High,Extreme,True,False,rf_only_correct
2023-0185-TUN,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0187-ETH,2023,Moderate,Moderate,Low,False,True,lightgbm_only_correct
2023-0189-PNG,2023,Low,Low,Low,True,True,both_correct
2023-0195-IND,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0530-MMR,2023,Moderate,High,High,False,False,both_wrong
2023-0200-COL,2023,Low,Low,Low,True,True,both_correct
2023-0218-MAR,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0234-IND,2023,Moderate,High,High,False,False,both_wrong
2023-0239-USA,2023,Low,Low,Low,True,True,both_correct
2023-0251-YEM,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0252-TUR,2023,Low,Low,Low,True,True,both_correct
2023-0270-ITA,2023,Low,Low,Low,True,True,both_correct
2023-0272-CAN,2023,Low,Low,Low,True,True,both_correct
2023-0275-EGY,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0280-CAN,2023,Low,Low,Low,True,True,both_correct
2023-0290-SLE,2023,Moderate,Low,Low,False,False,both_wrong
2023-0291-AFG,2023,Low,High,High,False,False,both_wrong
2023-0294-BGD,2023,Low,Low,Low,True,True,both_correct
2023-0295-SOM,2023,Moderate,Moderate,Low,False,True,lightgbm_only_correct
2023-0306-PAK,2023,Moderate,Moderate,High,False,True,lightgbm_only_correct
2023-0310-SLV,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0312-CMR,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0313-NGA,2023,Moderate,High,Moderate,True,False,rf_only_correct
2023-0324-USA,2023,Low,Low,Low,True,True,both_correct
2023-0612-NGA,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0325-BRA,2023,Moderate,Low,Low,False,False,both_wrong
2023-0620-UZB,2023,Low,Moderate,Moderate,False,False,both_wrong
2023-0331-PAK,2023,Low,High,High,False,False,both_wrong
2023-0337-CUB,2023,Low,Low,Low,True,True,both_correct
2023-0339-HTI,2023,Moderate,Low,Low,False,False,both_wrong
2023-0341-CHN,2023,Moderate,High,High,False,False,both_wrong
2023-0626-NGA,2023,Moderate,Moderate,High,False,True,lightgbm_only_correct
2023-0364-USA,2023,Moderate,High,High,False,False,both_wrong
2023-0384-YEM,2023,High,Low,Low,False,False,both_wrong
2023-0385-PER,2023,High,High,High,True,True,both_correct
2023-0396-IND,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0397-KEN,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0400-ITA,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0402-CAN,2023,Moderate,Moderate,Moderate,True,True,both_correct
2023-0413-JPN,2023,Low,Low,Low,True,True,both_correct
2023-0428-IND,2023,Extreme,Extreme,Extreme,True,True,both_correct
2023-0428-PAK,2023,High,High,High,True,True,both_correct
2023-0429-MEX,2023,Moderate,Moderate,Moderate,True,True,both_correct
